# title=양을 쫓는 모험	1
누군가 말했듯이 수 고만 아끼지 않는다면 웬만한 일은 곧 알 수 있게 마련이다.	В наше время, как кто-то сказал, если хорошо постараться, можно узнать что угодно.
그녀의 집은 옛부터 서민들이 모여 사는 번화한 거리에 있었다.	Семья ее жила в 'старом городе', Ситамати.
나는 도쿄(東 京)가 상세히 그려진 구분 지도를 펴놓고, 그녀의 집 번지에 빨간 볼펜으로 표시 를 했다.	Я развернул карту Токио, отыскал адрес и обвел ее дом тонким красным фломастером.
지도에서 본 그 곳은 정말 서민적인 거리였다.	То был действительно очень старый район на самом краю столицы.
	Ветвистая паутина линий метро, электричек, автобусов давно утратила какую-либо вразумительную четкость и, вплетенная в сети узких улочек и сточных каналов, напоминала морщины на корке дыни.
지하철과 국철, 그리 고 노선 버스가 균형을 잃은 거미줄처럼 뒤얽히고, 서로 겹치고, 개천이 몇 줄기 흐르고 있어 다닥다닥 붙은 길들이 멜론 껍질의 주름살처럼 지표에 달라붙어 있 었다.	В назначенный день пригородной электричкой от станции Васэда я отправился на похороны.
	Не доезжая до конечной, я вышел, развернул карту токийских пригородов и обнаружил, что с равным успехом мог бы держать в руках карту мира.
	Добраться до ее дома стоило мне нескольких пачек сигарет, которые пришлось покупать одну за другой, каждый раз выспрашивая дорогу.
장례식 날, 나는 와세다(초아전)에서 시내 전철을 탔다.	Дом ее оказался стареньким деревянным строением за частоколом из бурых досок.
종점과 가까운 역에 서 내려 지도를 펼쳐 보았지만, 지도는 지구의 정도로밖에는 도움이 되질 못했 다.	Нагнувшись, я через низенькие ворота пробрался во двор.
	Тесный садик по левую реку, похоже, был разбит без особой цели, 'на всякий случай'; глиняную жаровню, брошенную в дальнем углу, на добрую пядь затопило водой давно прошедших дождей.
그 바람에 그녀의 집에 도착할 때까지 몇 번이나 담배를 사며 길을 물어야 만 했다.	Земля в саду почернела и блестела от сырости.
	Она убежала из дома в шестнадцать; видно, еще и поэтому похороны прошли очень скромно, словно украдкой, в тесном домашнем кругу.
	Семья состояла сплошь из одних стариков, да то ли родной, то ли сводный брат, мужчина еле за тридцать, заправлял церемонией.
	Отец, низкорослый, лет пятидесяти с небольшим, в черном костюме с траурной лентой на груди стоял, подпирая косяк двери, и не подавал ни малейших признаков жизни.
그녀의 집은 갈색 판자로 울타리를 친 낡은 목조 건물이었다. 문을 들어서자, 왼쪽에 조금은 쓸모가 있을 법한 좁은 뜰이 있었다.	Взглянув на него, я вдруг вспомнил, как выглядит дорожный асфальт после только что схлынувшего наводнения.
뜰 한구석에는 못 쓰게 된 도자기 화로가 팽개쳐져 있었고, 그 화로 속에는 15센티미터나 빗물이 고여 있 었다.	Уходя, я отвесил молчаливый поклон, и он так же молча поклонился в ответ.
뜰의 흙은 검고 축축하게 젖어 있었다. 그녀가 열 여섯 살 때 집을 뛰쳐나간 후 소식을 끊었던 탓도 있어, 장례식은 일가 친척들만 조촐하게 치뤄졌다.	Впервые я встретился с ней осенью 1969 года; мне было двадцать лет, ей - семнадцать.
장례식에 온 사람들은 대부분 나이 많은 친 척이고, 서른을 갓 넘은 그녀의 오빠 같기도 하고 형부 같기도 한 사람이 장례 식을 이끌어 갔다.	Неподалеку от университета была крохотная кофейня, где собиралась вся наша компания.
그녀의 아버지는 50대 중반으로 왜소한 편이었는데, 검은 양복의 소매에 상장 을 두르고 문 옆에 선 채 꼼짝도 하지 않고 서 있었다.	Заведеньице так себе, но с гарантированным хард-роком - и на редкость паршивым кофе.
그의 모습은 마치 홍수 가 휩쓸고 간 직후의 아스팔트 도로를 연상케 했다. 내가 돌아올 때 말없이 머리를 숙이자, 그도 말없이 고개를 숙였다.	Она сидела всегда на одном и том же месте, уперев локти в стол, по уши в своих книгах.
내가 처음 그녀를 만난 것은 1969년 가을로 나는 스무살, 그녀는 열 일곱 살 이었다. 대학 근처에 작은 다방이 있었는데 나는 자주 그 곳에서 친구들을 만 났다.	В очках, похожих на ортопедический прибор, с костлявыми запястьями - странное чувство близости вызывала она во мне.
그저 그런 곳이었지만, 거기에 가면 하드 록을 들으면서 아주 맛없는 커 피를 마실 수는 있었다.	Ее кофе был вечно остывшим, пепельницы ╜ неизменно полны окурков.
그녀는 언제나 같은 자리에 앉아, 테이블에 팔꿈치를 괴고 책읽기에 빠져 있었 다.	Если что и менялось, то только названия книг.
치열 교정기처럼 생긴 안경을 끼고 있었고, 손은 뼈가 앙상했는데, 어딘지 모르게 그녀에게는 친근하게 느껴지는 구석이 있었다.	Сегодня это мог быть Мики Спиллэйн, завтра - Оэ Кэндзабуро, послезавтра - Аллен Гинзберг...
그녀의 커피는 항상 식 어 있었고, 재떨이에는 언제나 꽁초가 수북했었다.	В общем, было бы чтиво, а какое - неважно.
	Перетекавшая туда-сюда через кофейню студенческая братия то и дело оставляла ей что-нибудь почитать, и она трескала книги, точно жареную кукурузу, - от корки до корки, одну за другой.
책의 제목만 바뀌었다. 어떤 때는 미키 스피레인이었고, 어떤때는 오에 겐자 부로(大江健三郞)였으며, 또 어떤 때에는 <긴즈버그 시집>이었다. 요컨대 책이 기만 하면 뭐든 상관없었다.	То были времена, когда люди запросто одалживали книги друг другу, и, думаю, ей ни разу не пришлось кого-то этим стеснить.
그 곳에 드나드는 학생들은 그녀에게 책을 빌려주 었고, 그녀는 그것을 옥수수라도 갉아먹듯이 닥치는 대로 읽어 치웠다.	То были времена 'Дорз', 'Роллинг Стоунз', 'Бердз', 'Дип Перпл', 'Муди Блюз'.
	Воздух чуть не дрожал от странного напряжения: казалось, не хватало лишь какого-нибудь пинка, чтобы все покатилось в пропасть.
그때 는 책을 빌려주고 싶어하는 녀석들만 우글대던 시절이었으므로, 그녀는 한 번도 책 이 궁하지는 않았을 것이다. 오어스, 스톤스, 버즈, 디퍼플, 무디블루스, 그런 시절이기도 했다.	Дни прожигались за дешевым виски, не особо удачным сексом, ничего не менявшими спорами и книжками напрокат. Бестолковые, нескладные шестидесятые со скрипом опускали свой занавес.
공기에는 왠지 모르게 긴장감이 감돌고 있었다.	Я забыл ее имя.
그래서인지 조금만 힘을 줘 걷어차기만 해도 웬만한 것은 맥없이 무너져 내릴 것만 같았다.	Можно бы, конечно, раскопать лишний раз ту газетную хронику с сообщением о ее смерти.
우리는 싸구려 위스키를 마시기도 했고, 그다지 신통치 않은 섹스도 했고, 결 론 없는 이야기를 하기도 했고, 책을 빌려주고 빌리면서 하루하루를 보냈다.	Только как ее звали - мне сейчас совершенно не важно.
그 리고 엉망이었던 1960년대도 삐걱거리는 소리를 내며 바야흐로 막을 내리려 하 고 있었다.	Я не помню, как оно когда-то звучало.
그녀의 이름은 잊어버렸다.	Вот и все.
사망 기사의 스크랩을 다시 한 번 끄집어내어 생각해 낼 수도 있지만, 이제 와서 이름 따위는 아무래도 좋다.	Давным-давно жила-была Девчонка, Которая Спала С Кем Ни Попадя...
나는 그녀의 이름을 잊어버렸다.	Вот как звали ее.
그뿐이다.	
옛날 친구들을 만나면 간혹 그녀 이야기가 나올 때가 있다.	Конечно, если всерьез разобраться, спала она вовсе не с кем попало.
그들도 역시 그 녀의 이름을 기억하지 못하고 있다. 왜, 옛날에 말이야 누구하고도 자는 애 있 었잖아.	Не сомневаюсь, для этого у нее были какие-то свои, никому не ведомые критерии.
이름이 뭐더라, 생각이 잘 안 나는군.	И все же, как показывала действительность любому пристальному наблюдателю - спала она с подавляющим большинством.
나도 몇 번 같이 잤는데 지금은 어떻게 지낼까, 길에서 우연히 마주치면 묘할 거야.	Только однажды, из чистого любопытства, я спросил у нее об этих критериях.
-옛날 어느 곳에 누구하고도 자는 여자아이가 있었다. 그것이 그녀의 이름이다.	- Ну-у-у, как тебе сказать... - ответила она и задумалась секунд на тридцать.
물론 엄밀하게 정의를 내린다면, 그녀가 누구하고나 잔 것은 아니다.	- Конечно, не все равно, с кем.
거기에 는 그녀 나름대로의 기준이 존재했을 것이다.	Бывает, тошнит при одной мысли...
그렇긴 하지만 현실적인 문제로 바라보면, 그녀는 대부분의 남자와 잤다.	Но знаешь - мне просто, наверное, хочется успеть узнать как можно больше разных людей.
나는 꼭 한 번 순수한 호기심에서 그녀에게 그 기준에 대해 물어 본 적이 있 다.	Может, так оно и приходит ко мне - понимание мира...
글쎄' 그녀는 30초 가량 생각에 잠겼다.	- Из чьих-то постелей?
	- М-м...
물론 누구라도 상관없는 건 아니지.	Наступил мой черед задуматься.
싫다고 느낄 때도 있으니까.	- Ну и...
그렇긴 하 지만 결국 난 여러 종류의 삶을 알고 싶어하는 건지도 몰라.	Ну и как - стало тебе понятнее?
아니면, 내게 있어 서 이 세상이 이루어지는 방식 같은, 뭐 그런 걸 말이야' '함께 자는 것으로' '응' 이번에는 내가 생각에 잠길 차례였다.	- Чуть-чуть, - сказала она.
그래서······그래서 조금은 알았어?'	С зимы 69-го до лета 70-го я почти не виделся с ней.
	Университет то и дело закрывали по разным причинам, да и меня самого порядком закрутило в водовороте неприятностей личного плана.
	Когда же осенью 70-го я заглянул наконец в кофейню, то не обнаружил среди посетителей ни одного знакомого лица.
조금은' 하고 그녀는 대답했다.	Ни единого - кроме нее.
1969년 겨울부터 1970년 여름에 걸쳐서, 그녀와는 거의 얼굴을 마주치지 않았 다.	Как и прежде, играл хард-рок, но неуловимое напряжение, наполнявшее воздух когда-то, испарилось бесследно.
대학은 폐쇄를 되풀이하고 있었고, 나는 나대로 그것과는 별도로 사소한 개 인적인 문제들을 안고 있었다.	Только паршивый кофе, который мы снова пили, так и не изменился с прошлого года.
1970년 가을에 내가 그곳을 찾았을 때, 이미 손님들을 완전히 바뀌어 아는 얼 굴이라고는 그녀 한 사람 정도였다.	Я сидел перед нею на стуле, и мы болтали о старых приятелях.
여전히 하드록은 울리고 있었지만, 예전처 럼 긴장감이 감돌지는 않았다.	Многие уже бросили университет, один покончил собой, еще один канул без вести...
오로지 그녀와 맛없는 커피만이 1년 전 그대로 였다.	Так и поговорили.
나는 그녀의 맞은편 자리에 앉아, 커피를 마시면서 옛날 친구들에 대해 이야기를 나눴다.	- Ну а сам-то - как ты жил этот год? - спросила она у меня.
그들의 대부분은 대학을 그만두었다.	- По-разному, - ответил я.
한 사람은 자살했고, 한 사람은 행방을 감추었다.	- Стал мудрее?
그런 이야기였다.	- Чуть-чуть.
그녀는 '1년 동안 뭐하며 지냈어?'	В эту ночь я спал с нею впервые.
라고 내게 물었다.	
	Я ничего толком не знаю о ней, кроме того, что когда-то услышал - то ли от кого-то из общих знакомых, то ли от нее самой между делом в постели.
	То, что еще старшеклассницей она вдрызг разругалась с отцом и сбежала из дому (и, понятно, из школы), - это точно, была такая история.
	Но где жила и чем перебивалась - этого не знал никто. Дни напролет просиживала она на стульчике в рок-кафе, поглощая кофе чашку за чашкой, выкуривая одну сигарету за другой и перелистывая страницу за страницей очередной книги в ожидании момента, когда, наконец, появится какой-нибудь собеседник, который заплатит за все эти кофе и сигареты (не ахти какие суммы для нас даже в те дни) и с которым она, скорее всего, и уляжется этой ночью в постель.
여러 가지지 뭐' 라고 나는 대답했다.	Вот и все, что я знал о ней.
	Так и сложилось: с той самой осени и до прошлого лета раз в неделю, по вторникам, она приходила ко мне в квартирку на окраине Митака.
	Ела мою нехитрую стряпню, забивала окурками пепельницы и под хард-рок по 'Радио FEN' на полную катушку занималась со мной любовью.
	Утром в среду, проснувшись, мы гуляли с ней в маленькой рощице, постепенно добредали до студенческого городка и обедали в местной столовой.
	И уже после обеда пили жиденький кофе на открытой площадке под тентами и, если погода была хорошей, валялись в траве на лужайке и разглядывали небеса.
	Пикник среди недели', - называла это она.
	- Каждый раз, когда мы приходим сюда, я чувствую себя будто на пикнике.
조금은 현명해졌어?'	- На пикнике?
조금은.'	- Ну да.
그리고 그날 밤, 나는 처음으로 그녀와 잤다.	Куда ни глянь - трава.
나는 그녀의 성장 과정에 대해서 자세히는 모른다.	У людей вокруг счастливые лица...
	Стоя в траве на коленях, она испортила несколько спичек, прежде чем наконец прикурила.
누가 가르쳐 주었던 것 같기도 하고, 침대에서 그녀의 입을 통해 들었던 것 같기도 하다.	- Солнце подымается, потом садится; люди появляются и исчезают...
고등 학교 1 학년 여름에 아버지와 크게 싸우고 집을(내친 김에 고등학교도) 뛰쳐나왔다는 이야기였다.	Время течет, как воздух, - все как на настоящем пикнике, ведь правда?
도대체 어디에 살고 있는지, 어떻게 생계를 꾸려 가고 있는지 아무 도 몰랐다.	Через две-три недели мне стукало двадцать два.
그녀는 하루 종일 록 음악이 흐르는 다방의 의자에 앉아서 몇 잔이고 커피를 마시며, 끝없이 담배를 피워대고 책장을 넘기면서 커피 값과 담뱃값(당시의 우리 에게는 상당한 금액이었다)을 내줄 상대가 나타나기를 기다렸는데, 대개의 경우 에 그 상대와 잤다.	Ни надежды в ближайшее время закончить университет, ни причины бросать его на полдороге.
그것이 내가 그녀에 대해서 알고 있는 전부였다. 그 해 가을부터 이듬해 봄에 걸쳐서 일주일에 한 번, 화요일 밤에 그녀는 미 타가(삼경) 변두리에 있는 내 아파트를 찾아왔었다.	На распутье сомнений и разочарований уже несколько месяцев кряду я не решался сделать в жизни ни шага.
그녀는 내가 만든 간단한 저녁을 먹고, 재떨이를 가득 채우고, FEN의 록 프로그램을 크게 틀어 놓고 들으 면서 섹스를 했다.	Мир вокруг продолжал вертеться - только я, казалось, совершенно не двигался с места.
	Что бы ни являлось моим глазам в ту осень 70-го ╜ все окутывалось странной дымкой печали, все сразу и с катастрофической быстротой увядало, теряя цвет.
다음날 아침에 눈을 뜨면 잡목림을 산책하면서 ICU(국제 기 독교 대학)의 캠퍼스까지 걸어가, 식당에서 점심을 먹었다.	Лучи солнца, запах травы, еле слышные звуки дождя - и те раздражали меня.
그리고 오후에는 라 운지에서 연한 커피를 마시고, 날씨가 좋으면 캠퍼스의 잔디밭에 누워 뒹굴며 하늘을 올려다보았다.	Неотвязно меня преследовал сон о ночном поезде.
그녀는 그걸 수요일의 피크닉이라고 불렀다.	Всегда один и тот же.
	Поезд, полный табачного дыма и туалетной вони, набитый людьми так, что не продохнуть.
여기에 올 때마다, 진짜 피크닉을 온 것 같은 기분이 들거든' '진짜 피크닉?'	В вагоне, где яблоку негде упасть, заблеванные простыни липнут к телу.
	Не в силах терпеть, я подымаюсь с полки, протискиваюсь к дверям и схожу на случайной станции.
응, 끝없이 펼쳐진 드넓은 잔디밭이 있고, 사람들은 행복해 보이고······.'	Местность заброшена и пустынна - ни огонька.
그녀는 잔디 위에 앉아 몇 개비나 성냥을 버리면서 담배에 불을 붙였다.	На станции не видать даже стрелочника.
해가 뜨고 다시 지고, 사람들이 왔다가 가버리고, 공기처럼 시간이 흘러가잖 아.	Ни часов, ни расписания - ничего...
왠지 피크닉 같지 않아?'	Такой вот сон.
그때 나는 스물 두 살을 몇 주일 앞둔 스물한 살이었다.	В то время, мне кажется, я во многом подходил ей.
당분간 대학을 졸업 할 가망은 없고, 그렇다고 해서 대학을 그만둘 만한 확실한 이유도 없을 때였다.	Пусть нелепо и болезненно, но был нужен ей именно таким, каким был.
기묘하게 서로 얽혀 있는 절망적인 상황 속에서, 나는 몇 달 동안이나 새로운 한 걸음을 내딛지 못하고 있었다.	В чем подходил, чем был нужен - сейчас уже не припомню.
온 세상은 끊임없이 움직이는데, 나만이 같은 곳에 머물러 있는 듯한 기분이 들었다.	Может, я был нужен лишь себе самому - и не больше, но ее это ничуть не смущало.
1970년 가을에는 눈에 비치는 모든 것이 서글펐고, 그리고 모든 것이 빠르게 바래져 가는 것만 같았다.	А может быть, она просто так развлекалась, - но чем именно?
태양의 햇살과 풀 냄새, 그리고 작은 빗소리 조차도 나를 초조하게 만들었다.	Как бы там ни было, вовсе не жажда ласки-нежности притягивала меня к ней.
몇 번이나 야간 열차에 탄 꿈을 꾸었다. 언제나 똑같은 꿈이었다.	
	
담배 연기 와 화장실 냄새와 사람들의 훈김으로 후텁지근한 야간 열차였다.	
	
발 디딜 틈도 없을 정도로 혼잡하고, 좌석에는 오래 전에 누군가가 토한 것이 말라붙어 있었 다.	
나는 참다못해 자리에서 일어나, 어딘가의 역에 내렸다. 그 곳은 인가의 불빛하나 보이지 않는, 역원의 모습조차도 보이지 않는 황량한 고장이었다.	
시 계도 열차 시간표도 아무것도 없는, 그런 꿈이었다. 그런 시기에, 몇 번인가 고통스럽게 그녀를 만났던 것 같다.	
그녀를 어떤 식 으로 대했는지, 이제는 잘 생각나지 않는다.	
어쩌면 내가 내 자신에게 했던 정 도로 그녀를 대했는지도 모르겠다.	
그러나 어쨌든, 그녀는 나의 행동에 전혀 신 경 쓰지 않는 눈치였다.	
아니면(극단적으로 말한다면), 나의 행동을 꽤 즐기고 있었다.	
왜인지는 모른다.	
결국 그녀가 나에게서 찾던 것은 다정함이 아니었던 모양이다.	И сейчас еще, стоит вспомнить ее, возвращается ко мне то странное, неописуемое ощущение.
그런 생각을 하면, 지금도 기분이 묘해지고 어쩌다 공중에 떠 있는 눈에 보이지 않는 벽에 짚은 것처럼 슬퍼진다.	Одиночества и печали - словно от прикосновения чьей-то руки, вдруг протянутой сквозь невидимую в воздухе стену.
나는 1970년 11월 25일의 그 기묘했던 오후를 지금도 똑똑히 기억하고 있다.	Тот странный вечер 25-го ноября 70-го года я помню отчетливо и сегодня.
세찬 비에 떨어진 은행잎이, 잡목림 사이로 난 오솔길을 말라 버린 시내처럼 노 랗게 물들이고 있었다.	Сбитые ливнем, листья гинко в нашей роще выкрасили желтым узенькую тропинку, вышедшую из берегов, как река в пору паводка.
나와 그녀는 두 손을 주머니에 집어넣은 채, 그 길 여기 저기를 돌아다녔다.	Сунув руки в карманы курток, мы бродили с ней по останкам тропы туда и обратно.
낙엽을 밟는 두 사람의 발소리와 날카로운 새소리 외에는 아무 소리도 들리지 않았다.	В мире не было ничего, кроме шороха двух пар обуви по палым листьям да резких выкриков птиц.
그녀는 느닷없이 '도대체 무슨 고민을 하고 있는 거야?' 라고 나에게 물었다.	- Слушай, что с тобой происходит? - спросила она внезапно. - Так...
별거 아니야' 라고 나는 대답했다.	Ничего особенного, - ответил я.
그녀는 조금 앞질러 가다 길가에 주저앉아 담배를 피웠다.	Пройдя немного вперед, она села на обочину и закурила.
나도 그 옆에 나 란히 앉았다.	Я присел рядом.
항상 기분 나쁜 꿈을 꾸는 거야?'	- Тебе снятся плохие сны?
자주 그래.	- Постоянно.
대개는 자동 판매기에서 거스름돈이 나오지 않는 꿈이지만 말이 야.'	Просто кошмары какие-то. Особенно - про автомат с сигаретами, который сдачу не отдает...
그녀는 웃으며 내 무릎에 손을 얹어 놓았다가 치웠다.	Рассмеявшись, она положила ладонь на мое колено.
별로 말하고 싶지 않은 모양이지?'	Потом убрала. - Не хочешь говорить, да? Ни словечка?
제대로 말할 수가 없어.'	- Как-то не говорится... Ни словечка.
그녀는 반쯤 피우다 만 담배를 땅바닥에 버리고, 운동화로 신중하게 밟아 껐 다. '진짜 말하고 싶은 건 제대로 말할 수 없는 법인가 봐.	Она бросила недокуренную сигарету на землю, благовоспитанно притоптала кроссовкой: - Самое наболевшее никогда не высказать толком...
그렇게 생각 안 해?'	Ты об этом?
나는 '모르겠어' 라고 대꾸했다.	- А, не знаю! - сказал я.
푸드득 소리를 내며 두 마리 새가 지면으로부터 날아오르더니, 구름 한 점 없 는 하늘로 빨려 들어가듯이 사라져 갔다.	Глухо фыркнув крыльями, две птицы вспорхнули с земли, и ослепительно-чистое небо всосало их в себя без остатка. Некоторое время мы молча следили за тем, как они исчезали.
우리는 한동안 새가 사라진 언저리를 말없이 바라보았다.	Потом, подобрав сухую ветку, она принялась вычерчивать на земле какой-то неясный узор.
	- Когда я сплю с тобой...
그리고 나서 그녀는 마른 나뭇가지로 땅바닥에 의미를 알 수 없는 도형을 몇 개 그렸다.	
너와 함께 누워 있으며, 가끔 아주 슬퍼져.'	Мне бывает ужасно грустно.
미안하게 생각해' 라고 나는 말했다.	- Это я виноват...
	Я знаю.
네 탓이 아니야.	- Дело тут не в тебе...
더군다나 네가 나를 안고 있을 때 다른 여자를 생각하고 있 기 때문도 아니구.	И даже не в том, что ты вечно думаешь о другой, когда обнимаешь меня.
그런 일은 아무래도 좋아. 내가······.'	Это - пускай, как угодно. Я...
그녀는 거기서 갑자기 입을 다물고 천천히 땅바닥에 세 개의 평행선을 그었 다.	- Оборвав внезапное откровение, она провела на своем узоре три долгие параллельные линии.
모르겠어' 	- Н-не знаю.
나는 조금 사이를 두고 말을 이었다. '특별히 마음을 닫고 있겠다는 생각은 없어.	- Понимаешь... Я вовсе не собираюсь от тебя отгораживаться, - сказал я после паузы.
무슨 일이 일어났는지 나 자신도 아직 제대로 이해할 수 없을 뿐이야. 	- Просто я и сам никак не могу уловить, что происходит.
나는 여러 가지 일을 되도록 공평하게 파악하고 싶거든.	Так хотелось бы научиться понимать все вокруг - беспристрастно, как можно спокойнее.
필요 이상으로 과장하거나, 필요 이상으로 현실적이 되고 싶지 는 않아.	Чтобы и в облаках не витать, и на лишнее время не тратить...
하지만 그러기 위해서는 시간이 걸리겠지.'	Но все это требует времени.
얼마만큼의 시간' 	- Сколько времени?
나는 고개를 저었다.	Я покачал головой.
몰라. 1년으로 끝날지도 모르고, 10년이 걸릴지도 모르지.'	- Откуда я знаю? Может, год, а может, и десять.
그녀는 작은 나뭇가지를 땅바닥에 버리고, 일어서서 코트에 붙은 마른풀을 털 어 냈다.	Она отбросила прутик и, поднявшись с земли, стряхнула приставшие к куртке травинки.
저어, 10년이란 세월이 영원처럼 느껴지지 않아?'	- Послушай...А тебе не кажется, что десять лет - это очень похоже на вечность? 
나는 '글쎄' 하고 대답했다.	- Да, наверное, - ответил я.
우리는 숲을 빠져나가 ICU의 캠퍼스까지 걸어가 여느 때처럼 라운지에 앉아 서 핫도그를 먹었다.	Выбравшись из рощи, мы дошли до студенческого городка, уселись, как обычно, под тентами в летнем кафе и захрустели сосисками.
오후 두 시였는데, 라운지의 텔레비전 화면에는 미시마 유 키오(삼오유기부)의 모습이 몇 번이고 되풀이해 비쳐지고 있었다.	Ровно в два часа пополудни на экране телевизора вдруг с ненормальной частотой замельтешили то лицо, то фигура Мисима Юкио.
볼륨이 고장 난 탓에 말소리는 거의 들리지 않았는데, 어쨌든 그건 상관없는 일이었다.	С громкостью было что-то неладно, и мы не могли разобрать в чем дело, - да и, по большому счету, в те минуты нам все было до лампочки.
우리 는 핫도그를 다 먹고 나서, 커피를 한 잔씩 더 마셨다.	Мы съели сосиски и выпили еще по кофе.
한 학생이 의자에 올라 가 볼륨 버튼을 잠깐 만지작거리더니, 단념하고 내려와 어디론가 사라졌다.	Какой-то студентик, взгромоздившись на стул, долго вертел ручкой громкости, пытаясь наладить звук, но потом отчаялся, слез со стула и куда-то исчез.
너를 원해' 라고 나는 말했다.	- Я тебя хочу, - сказал я.
좋아.'  그녀는 그렇게 대답하며 미소 지었다.	- О'кей, - улыбнулась она.
우리는 코트 주머니에 손을 넣은 채 아파트까지 천천히 걸어갔다.	Мы сунули руки поглубже в карманы и побрели ко мне.
내가 문득 잠에서 깨었을 때, 그녀는 소리 없이 울며 담요 속에서 가냘픈 어 깨를 떨고 있었다.	Проснувшись вдруг, я увидел, что она беззвучно плачет. Только худенькие плечи-крылышки чуть заметно вздрагивали под одеялом.
나는 난로에 불을 붙이고, 시계를 보았다.	Я разжег огонь в камине и взглянул на часы.
새벽 두 시였다.	Два часа ночи.
하늘 한가운데에는 새하얀 달이 떠 있었다.	Луна зияла в небе мертвенно-бледной дырой.
그녀가 울음을 그치길 기다렸다가 물을 끓이고 티 백으로 홍차를 만들어 둘이 서 마셨다.	Я дождался, пока она выплачется, вскипятил воды, разболтал в двух чашках пакетики, и мы стали пить чай.
설탕도 레몬도 밀크도 넣지 않은 그냥 뜨거운 홍차였다.	
그러고 나서 담배 두 개비에 불을 붙여서 한 개비를 그녀에게 건네주었다.	Я раскурил сразу две сигареты и передал одну ей.
그녀는 연기를 들이마셨다가 뿜어내기를 연거푸 세 번하고 나더니 한바탕 기침을 했다.	Глубоко затянувшись, она тут же закашлялась; это повторилось трижды и привело ее в страшное возбуждение.
 '있잖아, 나를 죽이고 싶다고 생각한 적 있었어?'	- Послушай, тебе никогда не хотелось меня убить?
라고 그녀가 물었다.	
너를?' 	- Тебя?..
응' 	- Да.
왜 그런 걸 묻지?'	- Зачем ты спрашиваешь?
그녀는 담배를 입에 문 채 손끝으로 눈꺼풀을 비볐다.	Не вынимая изо рта сигареты, она закрыла глаза и кончиками пальцев потерла веки.
그저 그냥.'	- Так... Низачем.
 '없어' 라고 나는 말했다.	- Ну и незачем! - сказал я.
 '정말?'	- Правда?
정말.	- Правда.
 뭣 때문에 내가 널 죽여야만 하는 거지?' 	За каким чертом мне тебя убивать?!
	- Да, действительно... - кивнула она с усилием над собой.
그녀는 '그러네' 라고 대답하며 귀찮다는 듯이 고개를 끄덕였다.	- Просто я вдруг подумала...
그저, 내가 깊이 잠들었을 때 누군가가 날 죽여주는 것도 나쁘지 않겠다는 생각이 문득 들었을 뿐이야.'	Может, было бы вовсе неплохо, если бы кто-то меня убил.
	Так вот - во сне...
	- Кто угодно, только не я.
나는 사람을 죽일 타입은 아니야.'	Я не смог бы убить человека.
그래?'	- В самом деле?
아마도.'	- Ну, насколько я себя знаю...
그녀는 웃으며 담배를 재떨이에 비벼 끄고 남아 있던 홍차를 한 모금 마신 후에, 새 담배에 불을 붙였다.	Рассмеявшись, она вдавила окурок в пепельницу, одним глотком допила оставшийся чай и закурила новую сигарету.
	- Поживу до двадцати пяти, - сказала она.
그리고 그녀는 이렇게 말했다.	- А там и умру.
