3. 노래는 끝났다.	3. ПЕСЕНКА СПЕТА
그것이 최초의 제이스 바였다. 장사는 꽤 잘됐다.	Прозвище 'Джей' он получил от американских солдат, когда работал на авиабазе США.
손님의 대부분은 공군의 장교급이어서 분위기도 나쁘지 않았다.	С тех пор настоящее имя забылось само собой.
	По словам самого Джея, в 54-м году он бросил работу на авиабазе - и там же неподалеку открыл свое маленькое заведение.
가 게가 자리를 잡았을 무렵 J는 결혼했는데 5년 후에 아내가 죽었다.	Это и был самый первый 'Джей'з бар'.
사인(死因) 에 대해 J는 아무 말도 하지 않았다.	Дела шли довольно успешно.
	Посетителями, в основном, были военные летчики-офицеры, и атмосфера поддерживалась весьма достойная.
베트남 전쟁이 격렬해졌을 무렵인 1963년 J는 가게를 팔고, 멀리 떨어진 나의 '거리'로 왔다.	Когда бизнес немного окреп, Джей женился - но пять лет спустя жена умерла.
그리고 그 곳에서 2대째 제이스 바를 열었다. 그것이 내가 J에 대해서 알고 있는 것의 전부였다.	О причине смерти Джей никогда ничего не рассказывал.
	В 63-м, когда стало слишком горячо во Вьетнаме, Джей продал свой бар, решив перебраться 'куда подальше' - получилось, в мой город.
그는 고양이를 기르고 있 고, 하루에 담배 한 갑을 피우고, 술은 한 방울도 마시지 않는다.	И открыл свой второй по счету 'Джей'з бар'.
나는 쥐를 알기 전에는 언제나 혼자서 제이스 바에 다녔다.	Это - все, что я знал про Джея.
나는 맥주를 홀 짝홀짝 마시며 담배를 피웠고, 주크박스에 동전을 넣고는 레코드를 들었다.	Он держал кошку, выкуривал пачку сигарет в день и не брал в рот ни капли спиртного.
그 무렵의 제이스 바는 정말이지 한산한 편이어서, 나와 J는 카운터 너머로 여러 가 지 이야기를 나눴다.	До знакомства с Крысой я частенько появлялся у Джея, всегда один.
	Потягивал пиво, курил сигарету за сигаретой да слушал пластинки, подбрасывая мелочь в музыкальный автомат.
	Бар уже частенько пустовал в те времена, и мы с Джеем то и дело вели через стойку какие-то долгие разговоры.
무슨 이야기를 했는지는 통 생각나지 않는다.	О чем - хоть убей, не помню.
말수 적은 열 일곱 살 짜리 고등 학생과 홀아비 중국인 사이에 도대체 무슨 화젯거리가 있 었을까?	Какой разговор может быть между семнадцатилетним старшеклассником-молчуном и овдовевшим китайцем?
내가 열 여덟 살 때 거리를 떠나자 쥐가 그 뒤를 이어서 맥주를 마셨다.	После того, как мне стукнуло восемнадцать и я уехал из Города, тянуть пиво к Джею ходил один Крыса.
1973년에 쥐가 거리를 떠나 버리자, 그 뒤를 잇는 자는 아무도 없었다.	Когда же в 73-м уехал и Крыса - приходить стало больше некому.
그리고 반년 후에는 도로 확장 때문에 가게도 이전하게 되었다. 그렇게 2대째 제이스 바를 둘러싼 우리의 전설은 끝났다.	А вскоре начали расширять городскую магистраль, и заведение Джея решили куда-нибудь перенести.
3대째 제이스 바는 예전의 건물에서 500미터쯤 떨어진 강변에 있었다.	Так закончилась для нас история второго 'Джей'з бара'.
그다 지 크지는 않지만 엘리베이터까지 딸린 새로 지은 4층 건물의 3층이었다. 엘리 베이터를 타고 제이스 바에 간다는 게 왠지 기분이 묘했다.	Третий 'Джей'з бар' расположился метрах в пятистах от предыдущего, недалеко от реки.
	Места и здесь было немного, но теперь сверкающий лифт доставлял вас на третий этаж новенького четырехэтажного здания.
카운터의 자리에서 거리의 야경이 바라보인다는 것도 묘했다.	Странное чувство - ехать в 'Джей'з бар' на лифте.
새 제이스 바의 서쪽과 남쪽으로는 커다란 창이 나 있어 그걸 통해 산줄기와 이전에는 바다였던 곳이 바라다 보였다.	Еще страннее - с табурета у стойки 'Джей'з бара' созерцать городские огни.
	Из гигантских окон, западного и южного, открывался вид на волнистую линию гор и низину, в которой раньше плескалось море.
	Несколько лет назад море в низине засыпали, и на его месте плотными рядами, будто надгробные плиты, выстроились небоскребы...
바다는 몇 년 전에 완전히 메워져 그 자리에는 묘비 같은 고층 건물들이 빽빽하게 들어서 있었다.	Я постоял перед окнами, посозерцал пейзаж и вернулся обратно за стойку.
나는 한동안 창가 에 서서 야경을 바라보고 나서 카운터로 돌아왔다.	- Раньше, небось, было море видно? - спросил я.
옛날엔 바다가 보였지' 라고 나는 말했다.	- Да уж, - ответил Джей.
J는 '그랬지' 라고 대꾸했다.	- Я там в детстве купался, - сказал я.
자주 거기서 헤엄치곤 했는데' J는 '그래' 라며 담배를 물고 무거워 보이는 라이터로 불을 붙였다.	- М-м, - промычал Джей с сигаретой в зубах, прикуривая от массивной зажигалки.
기분은 이해해.	- Прекрасно тебя понимаю.
산을 허물고 집을 짓고, 그 흙을 바다로 가져다가 메우고 거 기에 집을 지은 거야.	Разрушить горы, построить дома; останками гор засыпать море - и опять понастроить дома...
그런 일을 훌륭한 일이라고 생각하는 사람들이 아직도 있거든.'	Некоторые идиоты до сих пор считают это прекрасной идеей.
나는 말없이 맥주를 마셨다.	Я молча пил пиво.
천장의 스피커에서 보즈 스캣구즈의 새 히트 송 이 흐르고 있었다.	Динамики под потолком выдавали новый хит Бозза Скэггза.
주크박스는 어딘가로 사라져 버리고 없었다.	Музыкальный аппарат куда-то исчез.
	Посетители за столиками - опрятные студенческие парочки - благовоспитанно, глоток за глотком потягивали виски с водичкой напополам и коктейли.
홀에 있는 손 님의 대부분이 대학생 커플로, 그들은 말쑥한 차림으로 물 탄 위스키나 칵테일 을 한 모금씩 얌전하게 마시고 있었다.	Ни тебе пьяных баб в сортире, ни субботнего гвалта до боли в ушах.
	Потом, ясное дело, все разойдутся по домам, наденут пижамы, почистят зубы и лягут спать...
엉망으로 취한 여자아이도 없었고, 짜릿 한 주말의 떠들썩함도 없었다.	Ну, и что ж? - ну, и слава Богу.
틀림없이 모두 집으로 돌아가면 파자마로 갈아입고, 깨끗이 이를 닦고 자겠지.	Чистая, опрятная жизнь - что в этом плохого?
	В конце концов, каким должен быть этот мир, каким должен быть этот бар - общих стандартов для этого просто не существует.
하지만 그건 그 나름대로 괜찮은 일이다.	Все это время Джей следил за моим блуждающим взглядом.
산뜻하다는 것은 대단히 근사하다.	- Ну, что скажешь?
애당초 세계에도 바에도 사물의 바람직한 모습 따위는 존재하지 않는 것이다.	Все так изменилось, что никак не освоишься?
J는 그러는 동안 줄곧 내 시선을 쫓고 있었다.	- Да ничего подобного, - сказал я.
어때, 가게가 달라져서 어수선하지?' '그렇지 않아.	- Старый беспорядок на новый лад, вот и все.
혼돈이 그 모양을 바꾸었을 뿐이지. 기린과 곰이 모자를 맞바 꾸고, 곰과 얼룩말이 목도리를 서로 바꾼 거야' 하고 내가 그의 말에 대답했다.	Медведь у жирафа выменял шляпу, а зебра надела медвежий сюртук'...
여전하군' 하며 웃었다.	- А суть все та же? - рассмеялся Джей.
내가 '시대가 바뀐 거지' 라고 말했다.	- Времена изменились, - сказал я.
시대가 바뀌면 여러 가지가 바뀌는 법이지.	- Меняются времена - меняется многое.
	Но, в конечном счете - и ладно, и пускай себе меняется дальше.
하지만 결국은 그걸로 된 거야.	Все мы живем, меняясь.
모든게 뒤바뀌는 거니깐. 불평을 늘어놓을 수도 없지.'	И жаловаться тут не на что...
J는 아무 말도 하지 않았다.	Джей промолчал.
나는 새 맥주를 마시고, 그는 새 담배를 피웠다.	Я принялся за новое пиво, Джей закурил новую сигарету.
J는 '생활은 어때?' 하고 물었다.	- Как жизнь? - спросил Джей.
나쁘지 않아' 라고 나는 간단히 대답했다.	- Неплохо, - ответил я.
부인과는 어때?'	- А с женой как?
글쎄, 모르겠어.	- А-а, непонятно.
사람과 사람의 일이니까 말이야.	Как оно бывает между двумя разными людьми?
잘될 것 같을 때도 있고, 그렇지 않을 때도 있지.	Иногда кажется - все в порядке.
부부란 그런 거 아닌가?'	Иногда так не кажется.
J는 '글쎄' 라고 말하며 난처하다는 듯이 새끼손가락 끝으로 코를 긁었다.	В супружеской жизни - дело обычное, сам знаешь.
	- Не знаю, - мрачно проворчал Джей и почесал мизинцем переносицу.
결혼 생활이 어떤 것인지 까맣게 잊어버렸어.	- Забыл я уже, что такое супружеская жизнь.
까마득한 옛날 일이거든.'	Давно это было...
고양이는 잘 있어?' '4년 전에 죽었어.	- Кошка твоя здорова?
자네가 결혼하고 나서 얼마 안 돼서던가.	- Померла четыре года назад.
장에 탈이 나서 ······ 하지만 사실은 죽을 때가 됐던 거지.	Как раз после вашей свадьбы.
자그마치 12년이나 같이 살았으니 까.	Кишки себе попортила.
	Ей, правда, и так уже возраст вышел - двенадцать лет все-таки.
마누라와 살았던 기간보다 길었거든.	Дольше, чем мы с женой были вместе...
12년을 살았다면 굉장하지 않아?' '그렇군.'	Двенадцать лет жизни - вроде, такая мелочь, а?
산 위에 동물용 공원 묘지가 있어서 거기에 묻었어.	- И не говори, - сказал я.
	- Там, на горе - слыхал, небось - есть кладбище для животных.
고층 건물이 내려다보이 지.	Вот там и схоронил.
	Пусть теперь хоть на небоскребы эти сверху вниз посматривает.
이제 이 고장에서는 어디를 가도 고층 건물 밖에 안 보여.	А то уже куда ни плюнь - все в небоскреб попадешь.
하긴 고양에게 는 아무래도 상관없는 일이겠지만 말이야.'	Кошке это, конечно, до лампочки...
허전하지?'	Но все-таки.
응, 그야 허전하지.	- Тоскуешь?
어떤 사람이 죽더라도 그처럼 허전하지는 않을 거야.	- Тоскую, понятное дело.
	Уж не знаю, кому из людей нужно помереть, чтоб я так тосковал...
내 가 비정상인가?'	Что, странно говорю?
나는 고개를 저었다.	Я покачал головой.
	Покуда Джей сооружал для очередного посетителя замысловатый коктейль и салат 'Юлий Цезарь', я забавлялся головоломкой из Северной Европы, которую обнаружил на стойке.
J가 다른 손님을 위해서 칵테일과 시저스 샐러드를 만드는 동안, 나는 카운터 위에 있던 북유럽제 퍼즐을 가지고 놀았다.	В стеклянной коробке нужно было восстановить из фрагментов рисунок - три бабочки, порхающие над лужайкой с клевером.
세 마리의 나비가 클로버 위를 날 고 있는 도형을 유리 상자 속에서 조립하는 것이었는데, 10분 정도 시도하다가 포기하고 내던졌다.	Терпения моего хватило минут на десять, затем я плюнул и положил игрушку на место.
J가 '아이는 갖지 않을 거야?' 라고 돌아와서 물었다.	- Детей не заводишь? - спросил Джей.
이제는 슬슬 가져도 될 나이 아니야?' '갖고 싶지 않아.'	- По возрасту уж пора бы... - А не хочу, - ответил я.
그래?'	- Серьезно?
왜냐하면 나 같은 아이가 태어나면 분명히 어떻게 해야 좋을지 몰라서 당황 할 테니까.'	- А ты представь: родится кто-нибудь, вроде меня - что я с ним буду делать?
J는 이상하다는 듯이 웃으며 내 잔에 맥주를 따라 주었다.	Джей озадаченно рассмеялся и подлил мне пива.
자네는 너무 앞질러서 생각하는 버릇이 있어.'	- По-моему, ты слишком много думаешь наперед.
아니야, 그런 문제가 아니야.	- Да нет, дело не в этом.
무슨 뜻이냐 하면 생명을 만들어 내는 일이 정 말로 옳은 일인지 어떤지, 그걸 잘 모르겠다는 거야. 아이들이 성장하고, 세대 가 교체되고, 그래서 어떻게 되는 거지?	Просто я никак не могу понять, стоит ли вообще это делать - производить на свет еще одну жизнь...
산을 더 허물어서 바다를 메우고, 더 빨 리 달리는 차가 발명되고 더 많은 고양이가 치어 죽어.	Ну, вырастут дети, сменится поколение.
그뿐 아니겠어?' '그건 사물의 어두운 면이지. 좋은 일도 일어나고 좋은 사람도 있는 법이거 든.'	И что? Больше гор снесено, больше моря засыпано.
세 가지씩 예를 들어주면 믿어 주지' 라고 나는 말했다.	Больше скорость у автомобилей ╜ и больше кошек задавлено...
J는 잠깐 생각하더니 웃었다.	Только и всего, разве нет?
하지만 그걸 판단하는 건 자네들 아이들의 세대지, 자네들은 아니야.	- Но это - только темная сторона жизни.
자네들 세대는······.' '이미 끝났다 이건가?'	Случаются ведь и хорошие события.
어떤 의미에서는 말이야' 라고 J는 말했다.	Есть ведь и хорошие люди...
노래는 끝났다.	- Да?
	Ну-ка, приведи мне по три примера и того, и другого - тогда поверю...
	Джей ненадолго задумался, потом рассмеялся: - Все равно: что хорошо, что плохо - о том судить уже не вам, а вашим детям.
그러나 멜로디는 아직 울려 퍼지고 있다.'	Ваше-то поколение уже, хм...
자네는 언제나 말을 잘하는군.'	- Отпело свое?
나는 '왜 아니꼬워?' 하고 대꾸했다.	- В каком-то смысле, - изрек Джей.
제이스 바가 혼잡해지기 시작할 무렵에 나는 J에게 작별 인사를 하고 나왔다.	- Песенка спета, а призрак мелодии в сердце еще звучит...
아홉 시였다. 찬물로 면도를 한 자리가 아직도 따끔거렸다.	- Эк у тебя все складно сказать получается...
애프터 셰이브 로 션 대신 모드카 라임을 바른 탓도 있었다.	- Пижонство, - поморщился я.
J의 말에 의하면 그게 그거라지만, 얼굴에서 온통 보드카 냄새가 났다.	Бар начал заполняться людьми.
밤은 기묘하게 포근했고, 하늘은 여전히 잔뜩 흐려 있었다.	Я попрощался с Джеем и вышел на улицу.
습한 남풍이 천천 히 불고 있었다.	Девять часов.
	Кожу на скулах покалывало - из-за бритья под холодной водой, а также от водки с лимоном вместо лосьона.
여느 때와 똑같았다. 바다 냄새와 비가 내릴 것 같은 예감이 뒤섞여 있었다.	Тот же эффект, если верить Джею; вот только все лицо теперь пахло водкой.
그리고 일대는 나른한 그리움으로 가득 차 있었고, 하천 부지의 풀숲에서는 벌레소리가 울려 퍼지고 있었다. 당장에라도 비가 쏟아질 것 같았 다.	Ночь была на удивление теплой, небо - как и прежде, угрюмо-пасмурным.
내리고 있는지 분간하기조차 어려울 정도인데도 몸이 흠뻑 젖어 버릴 것 같이 가는 비 말이다.	Южный ветерок вяло тормошил мокрый воздух.
수은등의 아련한 흰 불빛으로 강이 흐르는 게 보였다.	Все так же, как и всегда.
복사뼈까지밖에 안 오 는 얕은 물살이었다.	Запах моря с предчувствием дождя.
물은 예전과 다름없이 맑았다.	Пейзаж с легким привкусом ностальгии.
산에서 직접 흘러내려 오 기 때문에 오염될 리도 없었다.	В буйной траве у речки - скрежетанье сверчков.
	И, как всегда, этот 'вроде-бы-дождь'. Мелкий и странный - то ли с неба падает, то ли в воздухе висит, - но уже очень скоро вымокаешь с головы до ног.
강바닥은 산에서 운반되어 오는 자갈과 부드러 운 모래로 되어 있었고, 군데군데에 모래가 흘러내리는 것을 말기 위한 폭포가 있었다.	В холодном свете фонарей было видно, как в речке бежит вода.
폭포가 밑의 웅덩이에서는 작은 물고기가 놀고 있었다.	Река совсем обмелела - еле-еле по щиколотку.
물이 적은 시기에는 물줄기가 고스란히 모래땅으로 빨려 들어가, 나중에는 약 간의 습기를 지닌 하얀 모래 길만이 남는다.	Но все такая же чистая, как и несколько лет назад.
나는 산책하는 김에 그런 길을 상 류까지 더듬어 가 물줄기가 강바닥으로 빨려 들어가는 지점으로 찾곤 했었다.	Ручьи сбегали сюда прямо с гор, и вода никогда не мутнела.
	Русло реки было выложено камнями, добытыми из тех же гор; вода звонко журчала по голышам и стихала в запрудах.
거기서는 마지막 가느다란 한 줄기가 뭔가를 찾아낸 것처럼 갑자기 멈췄다가 다 음순간에는 사라져 버리곤 했다.	Запруды были глубокими, а кое-где даже плескалась рыбешка.
	Если долго не шли дожди, от реки оставались лишь длинные лужи вдоль русла, и на месте бывшего берега проступали белые косы невысыхающего песка.
	Частенько я бродил по песчаным косам и выискивал те места, где река обрывалась, выдохшись меж камнями на собственном дне.
	Отследив глазами такой обрывок до последнего, самого крохотного водяного коленца, я останавливался как вкопанный.
	И тогда на мгновение мне как будто виделось что-то еще - но уже в следующий миг исчезало.
땅의 밑바닥 어둠이 그들을 살짝 삼켰다.	Словно какие-то странные существа жили, скрываясь, во мраке на дне реки. Путь вдоль реки был моей любимой дорогой.
강을 따라 난 길을 내가 좋아하는 길이었다.	Двигаться вместе с рекой.
물줄기와 함께 나는 걷는다. 걸 어가면서 강의 숨결을 느낀다.	Ощущать на ходу ее прерывистое дыхание...
그들은 살아 있는 것이다.	ОНИ ДЕЙСТВИТЕЛЬНО СУЩЕСТВУЮТ.
그들이야말로 바로 이 거리를 만든 장본인이다.	ЭТО ОНИ СОЗДАЛИ ГОРОД.
몇만 년이라는 세월에 걸쳐 그들은 산을 허물고 흙을 나르고 바다를 메워, 그 곳에 나무들이 우거질 수 있도록 만들었던 것이다.	СОТНИ ВЕКОВ, ГОД ЗА ГОДОМ - РАЗРУШАЛИ ГОРЫ, ПРЕВРАЩАЛИ ИХ В ЗЕМЛЮ, ЗАСЫПАЛИ ТОЙ ЗЕМЛЕЙ МОРЕ, РАССАЖИВАЛИ ДЕРЕВЬЯ.
처음부터 거리는 그들의 것이었고, 아마 앞으로도 줄곧 그럴 것이다.	С САМОГО НАЧАЛА ГОРОД ПРИНАДЛЕЖАЛ ИМ.
장마 덕분에 물줄기는 강바닥으로 빨려 들어가지 않고 계속 바다까지 이어졌 다.	ВИДНО, ТАК ОНО БУДЕТ И ДАЛЬШЕ...
	После июньских дождей река уже не переползала рывками от камня к камню на дне, а резво бежала вперед до самого моря.
