一 张大哥是一切人的大哥。	1 Чжан Дагэ - всем и каждому брат.
张大哥往往是打倒原来的媒人，进而为要到法厅去的夫妇的调停者；及至言归于好之后，夫妻便否认第一次的介绍人，而以张大哥为地道的大媒，一辈子感谢不尽。	Чжан Дагэ всегда удается посрамить прежнюю сваху и помирить супругов, которые собираются идти в суд. После примирения супруги навсегда забывают о своей прежней свахе и не перестают выражать, благодарность Чжан Дагэ.
这样，他由批评者的地位仍回到创造家的宝座上去。	Таким образом из критика он превращается в творца.
大叔和大哥最适宜作媒人。 张大哥与媒人是同一意义。	Чжан Дагэ в представлении людей тот же сват.
“张大哥来了，” 这一声出去，无论在哪个家庭里，姑娘们便红着脸躲到僻静地方去听自己的心跳。	Когда говорят: «Дядюшка Чжан пришел!» - девушки прячутся в укромный уголок и прислушиваются к биению своего сердца.
没儿没女的家庭——除了有丧事——见不着他的足迹。	И если после этого Чжан Дагэ не появляется самое большее десять дней, в доме не обходится без слез.
他来过一次，而在十天之内没有再来，那一家里必会有一半个枕头被哭湿了的。	Чжан Дагэ - хозяин человеческих сердец.
他的势力是操纵着人们的心灵。	Даже пожилые женщины радуются его приходу, он вносит в их однообразную жизнь аромат юности.
就是家中有四五十岁老姑娘的也欢迎他来，即使婚事无望，可是每来一次，总有人把已发灰的生命略加上些玫瑰色儿。	В семьях, где нет сыновей или дочерей, Чжан Дагэ - редкий гость, если не считать похорон.
	
二	2 Чжан Дагэ - человек ученый, он с детства много читал, кажется, прочел даже «Брак и любовь» [«Брак и любовь» - популярная брошюра о проблемах семьи в Китае.], но читает он лишь затем, чтобы лишний раз убедиться, насколько его суждения совершеннее тех, которые он находит в книгах.
张大哥是个博学的人，自幼便出经入史，似乎也读过《结婚的爱》。	Глаза у него как у волшебника.
他必须读书，好证明自己的意见怎样妥当。	Левый наполовину при крыт и служит ситом.
他长着一对阴阳眼：左眼的上皮特别长，永远把眼珠囚禁着一半；右眼没有特色，一向是照常办公。	Тщательно просеивает все, что видит правый, ибо читает в душе Чжан Дагэ и отсеивает все, что противоречит его мнению.
这只左眼便是极细密的小筛子。	Это маленькое сито - дар, посланный Чжан Дагэ самим небом.
右眼所读所见的一切，都要经过这半闭的左目筛过一番——那被囚禁的半个眼珠是向内看着自己的心的。	И хотя Чжан Дагэ - воплощение скромности и деликатности, он гордится этим даром.
这样，无论读什么，他自己的意见总是最妥善的；那与他意见不合之处，已随时被左眼给筛下去了。	Сито спасает от крайностей, что очень важно для сохранения равновесия, - по крайней мере, не свернешь шею на ровном месте: этого Чжан Дагэ пуще всего боится.
这个小筛子是天赐的珍宝。 张大哥只对天生来的优越有点骄傲，此外他是谦卑和蔼的化身。	Его одежда, шляпа, перчатки, трубка, трость - в меру модные, но вряд ли приверженец старых устоев решится ими воспользоваться.
凡事经小筛子一筛，永不会走到极端上去；走极端是使生命失去平衡，而要平地摔跟头的。	Одет он не кричаще, но обращает на себя внимание. «Слушайте Чжан Дагэ!
张大哥最不喜欢摔跟头。	Не ошибетесь!»
他的衣裳，帽子，手套，烟斗，手杖，全是摩登人用过半年多，而顽固老还要再思索三两个月才敢用的时候的样式与风格。	Мало кто из друзей и знакомых Чжан Дагэ, собирающихся вступить в брак, не произносил этих слов.
就好比一座社会的骆驼桥，张大哥的服装打扮是叫车马行人一看便放慢些脚步，可又不是完全停住不走。	Маленький паланкин в свадебной машине - это изобретение Чжан Дагэ.
	Невесту теперь обычно встречают на автомобиле, - выходит, девушка так и не посидит в свадебном паланкине.
“听张大哥的，没错！”	Это, конечно, упущение.
	И опять, же, когда машина подъезжает к воротам, собирается толпа зевак, жаждущих поглазеть на невесту.
凡是张家亲友要办喜事的少有不这么说的。	Это не совсем прилично, не говоря уже о том, что не к добру.
彩汽车里另放一座小轿，是张大哥的发明。	Самое лучшее - поставить в машину небольшой паланкин.
用彩汽车迎娶，已是公认为可以行得通的事。	Вот до чего додумался Чжан Дагэ!
不过，大姑娘一辈子没坐过花轿，大小是个缺点。	Машина подъезжает к дому, раз - и паланкин выносят.
况且坐汽车须在门外下车，闲杂人等不干不净的都等着看新人，也不合体统，还不提什么吉祥不吉祥。	Зеваки остаются с носом: придется теперь самим жениться или выйти замуж, тогда узнают, как выглядит невеста.
汽车里另放小轿，没有再好的办法，张大哥的主意。 汽车到了门口，拍，四个人搬出一顶轿屉！	Кроме того, это наглядный урок для влюбленных, как бы намек.
闲杂人等只有干瞪眼；除非自己去结婚，无从看见新娘子的面目。 这顺手就是一种爱的教育，一种暗示。	Правда, однажды летом невеста вывалилась из паланкина - хлопнулась в обморок от жары.
只有一次，在夏天，新娘子是由轿屉倒出来的，因为已经热昏过去。	Поэтому теперь даже осенью в машине работают два вентилятора.
所以现在就是在秋天，彩汽车上顶总备好两上电扇，这是张大哥的发明；不经一事，不长一智。	Это тоже изобретение Чжан Дагэ. Беда научит.
三	3
 假如人人有个满意的妻子，世界上决不会闹共产党；没有共产党自然不会闹共妻。	 Если бы у каждого была жена по сердцу, никто не шумел бы о коммунизме, не кричал об общих женах.
张大哥深信此理。	Чжан Дагэ глубоко верит в это.
革命青年一结婚，便比老鼠还老实，是个事实，张大哥于此点颇有证据。	Уж какие бывают молодые люди, можно оказать, революционеры, а женятся - их и не услышишь.
因此，在他的眼中，凡是未婚的人脸上起了几个小红点，或是已婚的眉头不大舒展，必定与婚事有关，而马上应当设法解决。	Не один такой случай знает Чжан Дагэ.
不然，非出事不可！	Все связано с браком.
	Если у неженатого пойдут по лицу красные пятна, а женатый станет хмуриться, надо быстро уладить дело, иначе произойдет неприятность.
	Вот уже несколько дней Лао Ли ходит печальный, наверняка что-то стряслось.
老李这几天眉头不大舒展，一定大有文章。	Чжан Дагэ советует ему принять аспирин или другое лекарство - не помогает.
张大哥嘱咐他先吃一片阿司匹灵，又告诉他吃一丸清瘟解毒。	И Чжан Дагэ ставит диагноз: что-то не ладится в семье.
无效，老李的眉头依然皱着。	Лао Ли родом из деревни.
张大哥给他定了脉案——婚姻问题。 老李是乡下人。	Впрочем, по мнению Чжан Дагэ, любой человек, кроме пекинца, - родом из деревни.
据张大哥看，除了北平人都是乡下老。	Тяньцзинь, Ханькоу, Шанхай, равно как Париж и Лондон, для Чжан Дагэ - деревня.
天津，汉口，上海，连巴黎，伦敦，都算在内，通通是乡下。	Единственная известная ему гора - это Западная.
张大哥知道的山是西山，对于由北山来的卖果子的都觉得有些神秘不测。	От торговцев фруктами с Северных гор на него веет чем-то таинственным.
	Самое дальнее путешествие, на которое он отважился, - поездка за Ворота Вечного покоя [[3]: #_ednref3 Западная гора. - Имеется в виду горный хребет Сишаиь вблизи Пекина.
最远的旅行，他出过永定门。	Северные горы - живописное место недалеко от китайской столицы.
可是他晓得九江出磁，苏杭出绸缎，青岛是在山东，而山东人都在北平开猪肉铺。	Ворота Вечного покоя - южные ворота в городской стене Пекина.].
	Зато он знает, что фарфор производят в Цзюцзяне, шелка в Сучжоу и Ханчжоу, и еще что Циндао находится в провинции Шаньдун, а шаньдунцы держат в Пекине мясные лавки.
他没看见过海，也不希望看。 世界的中心是北平。	Он никогда не видел моря и yе стремится его увидеть.
所以老李是乡下人，因为他不是生在北平。	Центр мира для него - Пекин.
	Лао Ли родился не в Пекине, значит - деревенский, а к деревенским Чжан Дагэ относится с особым сочувствием.
张大哥对乡下人特别表同情；有意离婚的多数是乡下人，乡间的媒人，正如山村里的医生，是不会十分高明的。	Они чаще других затевают разводы, потому что свахи в деревнях, как и лекари, люди непросвещенные.
生在乡下多少是个不幸。 他们二位都在财政所作事。	Словом, родиться в деревне - большое несчастье.
老李的学问与资格，凭良心说，都比张大哥强。	Лао Ли и Чжан Дагэ служат в управлении финансов.
可是他们坐在一处，张大哥若是像个伟人，老李还够不上个小书记员。	По правде говоря, Лао Ли образованнее и способнее Чжан Дагэ.
张大哥要是和各国公使坐在一块儿谈心，一定会说出极动人的言语，而老李见着个女招待便手足无措。	Но Чжан Дагэ держится как личность незаурядная, а Лао Ли - как захудалый секретаришка.
	Доведись Чжан Дагэ побеседовать с каким-нибудь дипломатом, он не ударил бы лицом в грязь.
老李是光绪末年那拨子姥姥不疼舅舅不爱的孩子们中的一位。	А Лао Ли даже при женщинах теряется.
	Он родился в последние годы правления Гуансюя и с детства ни у кого не вызывал симпатии.
说不上来为什么那样不起眼。	Почему - трудно сказать.
张大哥在没剪去发辫的时候，看着几乎像张勋那么福气；剪发以后，头上稍微抹了点生发油，至不济像个银行经理。	Другое дело - Чжан Дагэ. С косой он выглядел таким же счастливым, как Чжан Сянь [[4]: #_ednref4 Гуансюй - период правления маньчжурского императора (1875 - 1908 гг.).
老李，在另一方面，穿上最新式的西服会在身上打转，好像里面絮着二斤滚成蛋的碎棉花。	Чжан Сянь - глава одной из милитаристских группировок; в 1917 г. пытался реставрировать маньчжурскую монархию.
	Коса - символ подчинения маньчжурам.], потом отрезал косу и начал мазать голову маслом, чтобы волосы лучше росли, и уже походил самое меньшее на начальника управления.
刚刮净的脸，会仿佛顺着刀子冒槐子水，又涩又暗。	Европейский костюм, самый что ни на есть модный, сидел на Лао Ли мешковато.
他递给人家带官衔的——财政所第二科科员——名片，人家似乎得思索半天，才敢承认这是事实。	Лицо, чисто выбритое, но всегда хмурое, казалось непривлекательным.
他要是说他学过银行和经济学，人家便更注意他的脸，好像他脸上有什么对不起银行和经济学的地方。	Визитная карточка с указанием должности - чиновник управления финансов - могла вызвать лишь недоумение.
	Когда же Лао Ли сообщал, что изучал банковское дело и экономику, недоумение перерастало в изумление, потому что было в его внешности что-то недостойное этих великих наук.
其实老李并不丑；细高身量，宽眉大眼，嘴稍过大一些，一嘴整齐白健的牙。	Между тем Лао Ли не был уродлив: стройный, высокий, с большими глазами и густыми бровями; рот, правда, великоват, зато зубы ровные, белые.
但是，他不顺眼。	И все же Лао Ли не вызывал симпатии.
无论在什么环境之下，他使人觉得不舒服。	Где бы он ни появлялся, людям становилось как-то не по себе.
他自己似乎也知道这个，所以事事特别小心，结果是更显着慌张。	Он, видимо, сам это знал и потому еще больше терялся.
人家要是给他倒上茶来，他必定要立起来，双手去接，好像只为洒人家一身茶，而且烫了自己的手。	Нальют ему чаю, он из вежливости поднимется, чтобы принять чашку, но тут же обольет того, кто подал чай, и себе руки ошпарит.
赶紧掏出手绢给人家擦抹，好顺手碰人家鼻子一下。	Полезет за платком и при этом умудрится задеть чей-нибудь нос.
然后，他一语不发，直到蹩急了，抓起帽子就走。	После этого, не говоря ни слова, схватит шапку и убежит.
一气不定跑到哪里去。 作起事来，他可是非常的细心。	Дела он вел аккуратно, причем самые каверзные доставались ему.
因此受累是他的事；见上司，出外差，分私钱，升官，一概没有他的份儿。	Когда же речь шла о визитах к начальству, командировках, взятках, повышениях - о Лао Ли и не вспоминали.
公事以外，买书看书是他的娱乐。	В свободное время Лао Ли читал - он любил покупать книги.
偶尔也独自去看一回电影。	Иногда ходил в кино.
不过，设若前面或旁边有对摩登男女在黑影中偷偷的接个吻，他能混身一麻，站起就走，皮鞋的铁掌专找女人的脚尖踩。	Но если, не дай бог, впереди или рядом с ним целовалась какая-нибудь парочка, Лао Ли в порыве возмущения вскакивал и уходил, не преминув наступить на ногу девице.
至于张大哥呢，长长的脸，并不驴脸瓜搭，笑意常把脸往扁处纵上些，而且颇有些四五十岁的人当有的肉。	У Чжан Дагэ лицо было длинное, но не очень, во всяком случае не такое, как ослиная морда или тыква.
高鼻子，阴阳眼，大耳唇，无论在哪儿也是个富泰的人。	Когда он смеялся - сплющивалось, словно у старика.
	Большой нос, острый взгляд, крупные мочки ушей - в общем, был он человеком заметным и одет вполне прилично: темный шерстяной халат, подбитый верблюжьей шерстью, атласный жилет тоже темный, с карманчиком' на груди, из карманчика торчит ручка с золотым зажимом, в которую Чжан Дагэ ни разу не набирал чернил и вынимал лишь затем, чтобы протереть шелковым платком перо.
打扮得也体面：藏青哔叽袍，花驼绒里，青素缎坎肩，襟前有个小袋，插着金夹子自来水笔，向来，没沾过墨水；有时候拿出来，用白绸子手绢擦擦钢笔尖。	Под халатом он вместо куртки носил европейскую рубашку, потому что очень любил запонки с фальшивыми камнями.
提着潍县漆的金箍手杖，杖尖永没挨过地。 抽着英国银星烟斗，一边吸一边用珐蓝的洋火盒轻轻往下按烟叶。	К рубашке госпожа Чжан пришила карманы: для кошелька, для часов, для печатки, чтобы все это было при нем и хранилось в безопасности.
左手的四指上戴着金戒指，上刻着篆字姓名。	Он ходил с лакированной тростью, украшенной золотыми колечками, но никогда не касался ею земли.
袍子里面不穿小褂，而是一件西装的汗衫，因为最喜欢汗衫袖口那对镶着假宝石的袖扣。	Курил английскую трубку, то и дело приминая табак эмалевой спичечницей.
张大嫂给汗衫上钉上四个口袋，于是钱包，图章盒——永远不能离身，好随时往婚书上盖章——金表，全有了安放的地方，而且不易被小绺给扒了去。	На безымянном пальце левой руки носил кольцо, на котором иероглифами в древнем стиле было выгравировано его имя.
放假的日子，肩上有时候带着个小照像匣，可是至今还没开始照像。	В свободные дни брал с собой фотоаппарат, но так и не сделал ни одного снимка.
没有张大哥不爱的东西，特别是灵巧的小玩艺。	Особенно нравились Чжан Дагэ изящные безделушки.
中原公司，商务印书馆，吴彩霞南绣店，亨得利钟表行等的大减价日期，他比谁也记得准确。	Он лучше всех помнил, в какие дин крупнейшие фирмы значительно снижали цены на товары.
可是，他不买外国货。 不买外货便是尽了一切爱国的责任；谁为卖国贼，张大哥总有参加一齐骂的资格。	Он не покупал товаров японских фирм, и этим исчерпывались его патриотические чувства, зато он считал себя вправе вместе с другими ругать «предателей».
他的经验是与日用百科全书有同样性质的。 哪一界的事情，他都知道。	Его жизненный опыт вполне заменил ему энциклопедические знания.
	Он знал все, перепробовал все мелкие должности, был знаком с деятелями всех партий, хотя совершенно не интересовался их целями и принципами.
	Какие бы изменения ни происходили в стране, он всегда находил себе дело, более того, становился самым нужным человеком.
	Стоило кому-нибудь из сослуживцев упомянуть в разговоре начальника управления, начальника отдела или секретаря, как Чжан Дагэ хитро щурил левый глаз и, посмеиваясь, смотрел правым на голубой дымок от трубки; внимательно выслушивал до конца, потом приоткрывал левый глаз и говорил: «Этот?
哪一部的小官，他都作过。	Да я был у него сватом!»
哪一党的职员，他都认识；可是永不关心党里的宗旨与主义。	Тут все узнавали, что перед ними волшебник, само божество.
无论社会有什么样的变动，他老有事作；而且一进到个机关里，马上成为最得人的张大哥。	И с этого момента Чжан Дагэ уже не столько работал, сколько занимался свадебными делами.
新同事只须提起一个人，不论是科长，司长，还是书记，他便闭死了左眼，用右眼笑着看烟斗的蓝烟，诚意的听着。	Он неделями не вспоминал о служебных обязанностях, зато дня не проходило без свадебных хлопот.
等人家说完，他睁开左眼，低声的说：“他呀，我给他作过媒。”	Служба беспокоила его все меньше и меньше.
从此，全机关的人开始知道了来了位活神仙，月下老人的转身。	«На браках государство держится», - говорил он.
从此，张大哥是一边办公，一边办婚事：多数的日子是没公事可办，而没有一天缺乏婚事的设计与经营。 而且婚事越忙，就是公事也不必张大哥去办。	Звонили ему чаще, чем другим, но сослуживцы не выказывали по этому поводу неудовольствия, особенно молодые.
“以婚治国，”他最忙的时候才这么说。 给他来的电话比谁的也多，而工友并不讨厌他。 特别是青年工友，只要伺候好了张科员大哥，准可以娶上个老婆，也许丑一点，可是两个箱子，四个匣子的赔送，早就在媒人的天秤上放好。	Надо всячески угож дать Чжан Дагэ, тогда он найдет подходящую невесту, пусть не красавицу, зато с приличным приданым, а это на весах уравняет ее с женихом.
张大哥这程子精神特别好，因为同事的老李“有意”离婚。	Заподозрив, что Лао Ли надумал разводиться, Чжан Дагэ сразу оживился и повеселел.
四	4 - Лао Ли, заходи пообедать. - Приглашая в гости, Чжан Дагэ никогда не спрашивал, располагаете ли вы временем, звал, будто приказывал.
 “老李，晚上到家里吃个便饭。”	Но делал это так искусно, что отказать вы ему не могли, как бы ни были заняты.
张大哥请客无须问人家有工夫没有，而是干脆的命令着；可是命令得那么亲热，使你觉得就是有天大的事也得说有工夫。	Согласился и Лао Ли, слова не сказал', впрочем Чжан Дагэ сам решил за него.
老李在什么也没说之中答应了。 或者该说张大哥没等老李回答而替他答应了。	Не так-то просто дождаться от Лао Ли ответа.
等着老李回答一个问题是需要时间的：只要有人问他一件事，无论什么事，他就好像电话局司机生同时接到了好几个要码的，非等到逐渐把该删去的观念删净，他无法答对。	Когда к нему обращаются с вопросом, он напоминает телефониста, получившего сразу несколько вызовов: сначала сообразит, кого отключить, а затем подаст голос.
你抽冷子问他今天天气好，他能把幼年上学忘带了书包也想起来。	Если вы спросите у него, какая сегодня погода, он начнет издалека, может вспомнить, как однажды, идя в школу, забыл сумку с книгами.
因此，他可是比别人想得精密，也不易忘记了事。	Зато, не в пример другим, Лао Ли никогда ничего не забывал.
“早点去，老李。	Приходи пораньше, Лао Ли.
家常便饭，为是谈一谈。 就说五点半吧？”	Гостей не будет, посидим - поговорим.
	Ну хотя бы в половине шестого, хорошо? - Последнюю фразу Чжан Дагэ произнес уже более мягко, устыдившись своего повелительного тона.
	Ладно! - ответил наконец Лао Ли и тут же добавил: - Только, пожалуйста, не надо угощения. - Не думайте, что Лао Ли так уж не хотелось пообедать, просто он отдал дань вежливости.
张大哥不好命令到底，把末一句改为商问。	Лао Ли любил ходить в гости и всегда тщательно готовился.
“好吧，”老李把事才听明白。	Он наверняка знал, о чем поведет речь Чжан.
“别多弄菜！”	Дагэ.
这句说得好似极端反对人家请他吃饭，虽然原意是要客气一些。 老李确是喜欢有人请他去谈谈。	Главное, понять суть дела или хотя бы уловить намек. на это сообразительности у Лао Ли хватит.
把该说的话都细细预备了一番；他准知道张大哥要问他什么。	Ровно в половине шестого раздался стук в дверь.
只要他听明白了，或是看透言语中的暗示，他的思想是细腻的。 整五点半，敲门。 其实老李十分钟以前就到了，可是在胡同里转了两三个圈：他要是相信恪守时刻有益处，他便不但不来迟，也不早到，这才彻底。	Вообще-то Лао Ли пришел десятью минутами раньше, но погулял по переулку: он считал, что приходить нужно точно, в условленное время.
张大哥还没回来。	Чжан Дагэ еще не возвратился.
张大嫂知道老李来吃饭，把他让进去。	Госпожа Чжан знала, что Лао Ли придет к обеду, и пригласила его войти.
张大哥是不能够——不是不愿意——严守时刻的。	Чжан Дагэ и хотел бы, да не мог быть точным.
一天遇上三个人情，两个放定，碰巧还陪着王太太或是李二婶去看嫁妆，守时间是不可能的。	За день ему пришлось улаживать три сердечных дела, он уже уладил два, когда подвернулась то ли госпожа Ван, то ли невестка Ли, пришлось идти смотреть приданое.
老李晓得这个，所以不怪张大哥。	Лао Ли все это знал и ни капельки не обиделся.
可是，对张大嫂说什么呢？	Но о чем говорить с госпожой Чжан?
没预备和她谈话！	К беседе с ней он не был готов.
大嫂除了不是男人，一切全和大哥差不多。 张大哥知道的，大嫂也知道。	Госпожа Чжан отличалась от супруга разве только тем, что не была мужчиной.
大哥是媒人，她便是副媒人。	Дагэ сватал, она - помогала.
语气，连长像，都有点像张大哥，除了身量矮一些。	И говорила она, как супруг, и даже внешне была на него похожа, только ростом пониже.
有时候她看着像张大哥的姐姐，有时候像姑姑，及至她一说话，你才敢决定她是张太太。	Ее можно было принять за сестру Чжан Дагэ, даже за его тетку, но стоило ей раскрыть рот, и становилось ясно, что перед вами госпожа Чжан.
大嫂子的笑声比大哥的高着一个调门。 大哥一抿嘴，大嫂的唇已张开；大哥出了声，她已把窗户纸震得直动。	Смеялась она оглушительнее самого Чжан Дагэ, а говорила так громко, что бумага в окнах дрожала.
大嫂子没有阴阳眼，长得挺俏式，剪了发，过了一个月又留起来，因为脑后没小髻，心中觉着失去平衡。	Она была по-своему привлекательна, хоть и не обладала такими волшебными глазами, как супруг.
	Однажды она остриглась, но через месяц стала снова отращивать волосы, потому что без пучка на затылке чувствовала себя как-то неуверенно. ' - Присаживайтесь, присаживайтесь, Лао Ли! - Госпожа Чжан называла всех так же, как ее супруг. - Дагэ _ вот-вот придет.
	Я угощу вас великолепной бараниной, приготовленной в «самоваре» [[5]: #_ednref5 «Самовар» - в отличие от русского самовара служит для приготовления пищи.].
“坐下，坐下，老李！”	Пойду порежу мясо.
张大嫂的称呼人永远和大哥一致。	Вот вам чай, семечки, сладости, угощайтесь.
“大哥马上就回来。	Можете не стесняться!
咱们回头吃羊肉锅子，我去切肉。	Снимайте же пальто! - говорила она, улыбаясь.
这有的是茶，瓜子，点心，你自己张罗自己，不客气。 把大衣脱了。”	Не успел Лао Ли произнести ни одной подходящей к случаю фразы, как госпожа Чжан вышла из комнаты.
她把客人的话也附带着说了，笑了两声，忽然止住，走出去。	Он почувствовал огромное облегчение, сиял пальто, долго искал, куда бы его положить, но так и не нашел.
老李始终没找到一句适当的话，大嫂已经走出去。 心里舒坦了些。	Присел, однако до сладостей дотронуться не решился, взял семечко и стал вертеть в пальцах.
把大衣脱下来，找了半天地方，结果搭在自己的胳臂上。	Уже началась зима, а печь почему-то не топили.
坐下，没敢动大嫂的点心，只拿起一个瓜子在手指间捻着玩。	Но руки у Лао Ли были влажными.
正是初冬天气，屋中已安好洋炉，可是还没升火，老李的手心出了汗。	В гостях он больше потел, нежели говорил, - и это порой помогало излечиваться от простуды.
到朋友家去，他的汗比话来得方便的多。	В это время года обычно еще не подают «самовар».
有时候因看朋友能够治好自己的伤风。	Но опередить время - так заманчиво.
	Никто лучше Чжан Дагэ не знал, когда подать баранину, когда лапшу с приправами, а когда новогодние пироги, когда надеть халат на меху, когда водрузить на нос очки от ветра, когда стрелять из хлопушек.
以天气说，还没有吃火锅的必要。 但是迎时吃穿是生活的一种趣味。	Заманчивость - дело тонкое, не то что необходимость.
张大哥对于羊肉火锅，打卤面，年糕，皮袍，风镜，放爆竹等等都要作个先知先觉。	Пусть ни единый листок не колышется от ветра, а Чжан Дагэ уже в защитных очках.
“趣味”是比“必要”更精神的。 哪怕是刚有点觉得出的小风，虽然树叶还没很摆动，张大哥戴上了风镜。	Пусть плывет по небу совсем крошечная тучка - Чжан Дагэ сменяет трость на зонтик.
哪怕是天上有二尺来长一块无意义的灰云，张大哥放下手杖，换上小伞。	Все в доме Чжан Дагэ устроено таким образом, чтобы опередить время.
张大哥的家中一切布置全与这吃“前期”火锅，与气象预告的小伞，相合。	В гостиной уже стояло блюдо с угощениями; благоухали нарциссы, распустившиеся еще в декабре.
客厅里已摆上一盘木瓜。 水仙已出了芽。	Чжан Дагэ сам их выращивал и первый наслаждался их ароматом, а в Новый год еще покупал цветы.
张大哥是在冬腊月先赏自己晒的水仙，赶到新年再买些花窖薰开的龙爪与玉玲珑。	Лао Ли просмотрел пластинки: все недавнего выпуска, и не только арии из пекинской оперы, но и песенки из фильмов, - это» для дочери.
留声机片，老李偷着翻了翻，都是新近出来的。	Любая вещь может пригодиться со временем.
不只是京戏，还有些有声电影的歌片——为小姐们预备的。	На полу - ковер, старомодные жесткие стулья, на них, пожалуй, удобнее стоять, чем сидеть.
	Но никто не посмеет сказать, что голубой ковер с бледно-розовыми цветами персикового дерева но гармонирует со стульями, на которых тоже узоры из цветов, и что все это не отличается древней простотой и изысканностью.
应有尽有，补足了迎时当令。	Лао Ли чуточку завидовал Чжан Дагэ, почти восхищался им.
地上铺着地毯，椅子是老式硬木的——站着似乎比坐着舒服；可是谁也不敢说蓝地浅粉桃花的地毯，配上硬木雕花的椅子，是不古雅朴秀的。	А восхищаться Чжан Дагэ - значит преклоняться и перед госпожой Чжан.
老李有点羡慕——几乎近于嫉妒——张大哥。	Она вышла нарезать мясо.
因为羡慕张大哥，进而佩服张大嫂。	Да, Чжан Дагэ обходится без прислуги.
